Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
16.84,2,0.2415643744059645490725671187,0.249482181118285,0.249482181118285,0.241858952532255,0.241858952532255,0.214079040903187,0.2226554322929615247131357625,0.1594484665605128247131357625,0.0632069657324487,7.7041875615512203670952399381,88.43841711970551727743546902,87.66481841564813835625767797,1614277000
16.85,2,0.2415531015824418540488109161,0.249469614725708,0.249469614725708,0.241847665961973,0.241847665961973,0.21404258859562,0.2226185636303791138094611934,0.1593875378418437138094611934,0.0632310257885354,7.7019076261957350396440995694,88.42622030680576302326974732,87.65520423146416801707660643,1615236000
16.86,2,0.2415418534261580690353002492,0.249457077548463,0.249457077548463,0.241836404089011,0.241836404089011,0.214006265235893,0.2225818248566854780259603987,0.1593267150298230780259603987,0.0632551098268624,7.6996318461527321698340137801,88.41397040582167252881400858,87.645543897066057025246422,1616195000
16.87,2,0.2415306128417541855455596864,0.249444549755689,0.249444549755689,0.241825149797162,0.241825149797162,0.213969993385231,0.2225451378881915168607847713,0.1592659200407617168607847713,0.0632792178474298,7.6973579819353875244582301687,88.40179108964214822917298382,87.6359396037103845630889044,1617153000
16.88,2,0.2415193828931991477194798677,0.249432036926472,0.249432036926472,0.241813906154133,0.241813906154133,0.213933844906607,0.2225085747388029275409432429,0.1592052248885663275409432429,0.0633033498502366,7.6950880940362425463530191343,88.38959602074318101587011461,87.62632005849174037560252709,1618112000
16.89,2,0.2415081814913345541713681140,0.249419555764552,0.249419555764552,0.241802691092605,0.241802691092605,0.213897784294728,0.2224721005078043161908911497,0.1591445946725200161908911497,0.0633275058352843,7.6928211800693884106558106795,88.37740526870235637623348741,87.6167017820070582414914278,1619070000
16.90,2,0.2414969907110552393725913782,0.249407088212281,0.249407088212281,0.241791486665615,0.241791486665615,0.213861808693257,0.2224357117103987397794174463,0.1590840259078268397794174463,0.0633516858025719,7.6905571376488995320738068012,88.3652246006197352262302497,87.60708954259634114614598061,1620029000
16.91,2,0.2414858045015360098768532768,0.249394628093528,0.249394628093528,0.241780286814959,0.241780286814959,0.213825914830945,0.2223994048617840230241535085,0.1590235151096842230241535085,0.0633758897520998,7.688295864388545733658391902,88.35301554173631020868603127,87.59745144808490702251354219,1620988000
16.92,2,0.2414746458011277524810938944,0.24938220023343,0.24938220023343,0.241769114506961,0.241769114506961,0.213790155536355,0.2223632336247281048955698723,0.1589631159408608048955698723,0.0634001176838673,7.6860388950595171061597907801,88.34089913433230834566145546,87.58788795883284454262566387,1621946000
16.93,2,0.2414635077010647972612904834,0.249369793044714,0.249369793044714,0.241757962824429,0.241757962824429,0.213754397196616,0.2223270640633616737203280755,0.1589026944654861737203280755,0.0634243695978755,7.6837823901278021205433422342,88.32868905739508061032357249,87.57824428298757521210802206,1622905000
16.94,2,0.2414523780851999071412198260,0.249357400007874,0.249357400007874,0.241746819636441,0.241746819636441,0.213718800713397,0.2222910567538104467979059609,0.1588424112596868467979059609,0.0634486454941236,7.6815309472065949238174078686,88.31658736171519957232571629,87.56868834323562108195213268,1623863000
16.95,2,0.2414412580556209985191822985,0.249345019789429,0.249345019789429,0.241735686046429,0.241735686046429,0.213683296283372,0.2222551418887318005958117986,0.1587821965161197005958117986,0.0634729453726121,7.6792825639089356067322124809,88.30441980276553905641065453,87.55907550532906431077583691,1624822000
